head,grouping,cell,class,n_rows,observed,predicted,gap,relative_gap
ev,overall,all,bin_15,122316,0.04104941299584682,0.041011688980055534,-3.772401579128781e-05,-0.000918990383494754
ev,overall,all,bin_16,122316,0.04221034042970666,0.0416754849919962,-0.0005348554377104589,-0.012671194599843599
ev,overall,all,bin_17,122316,0.039193564210732855,0.03897932816693902,-0.0002142360437938362,-0.005466102614244237
ev,overall,all,bin_18,122316,0.041646227803394484,0.04185700147214461,0.0002107736687501291,0.005061050660942441
ev,overall,all,bin_19,122316,0.04354295431505281,0.043816525505823704,0.00027357119077089237,0.0062827889166977985
ev,overall,all,bin_20,122316,0.03983943229013375,0.040794190297039,0.0009547580069052472,0.023965150907576897
ev,overall,all,bin_21,122316,0.04267634651231237,0.04401801238554329,0.001341665873230917,0.03143816148469595
ev,overall,all,bin_22,122316,0.04528434546584257,0.04641593275257013,0.0011315872867275617,0.024988487193242183
ev,overall,all,bin_23,122316,0.04566859609535956,0.04709456804105207,0.0014259719456925085,0.03122434380761276
ev,overall,all,expected_bin_index,122316,11.573187481605023,11.655518380429207,0.08233089882418376,0.007113934597105976
ev,count,0-0,bin_0,20078,0.03710528937145134,0.038825561062700284,0.0017202716912489424,0.04636189935153861
ev,count,0-0,bin_1,20078,0.03810140452236278,0.03691281973713157,-0.0011885847852312129,-0.03119530106911411
ev,count,0-0,bin_2,20078,0.03849985058272736,0.036883026028425324,-0.0016168245543020376,-0.04199560595249199
ev,count,0-0,bin_3,20078,0.03939635421854767,0.03999304558338307,0.0005966913648354014,0.015145852368097582
ev,count,0-0,bin_4,20078,0.04029285785436797,0.03999682121010003,-0.00029603664426793713,-0.00734712452856816
ev,count,0-0,bin_5,20078,0.03959557724872995,0.03997242346057445,0.00037684621184449346,0.009517381435740553
ev,count,0-0,bin_6,20078,0.039446159976093235,0.0376158628930797,-0.0018302970830135351,-0.046399879839325454
ev,count,0-0,bin_7,20078,0.04133877876282498,0.04044225629531016,-0.0008965224675148223,-0.021687202533448916
ev,count,0-0,bin_8,20078,0.0391473254308198,0.0377310508312641,-0.0014162745995556988,-0.036178067951500414
ev,count,0-0,bin_9,20078,0.04079091542982369,0.04064864213384107,-0.00014227329598261867,-0.0034878671999255405
ev,count,0-0,bin_10,20078,0.03775276421954378,0.039013165310851625,0.0012604010913078445,0.03338566373519644
ev,count,0-0,bin_11,20078,0.0346648072517183,0.03642342297270499,0.001758615720986692,0.050732020755705175
ev,count,0-0,bin_12,20078,0.042085865126008565,0.041181169841966424,-0.000904695284042141,-0.02149641646508652
ev,count,0-0,bin_13,20078,0.037453929674270345,0.03821529431790791,0.0007613646436375673,0.020328031003929624
ev,count,0-0,bin_14,20078,0.0456220739117442,0.04309604398451586,-0.002526029927228342,-0.05536859047913826
ev,count,0-0,bin_15,20078,0.042036059368463,0.04085983781507634,-0.001176221553386654,-0.027981251598219476
ev,count,0-0,bin_16,20078,0.042334893913736425,0.04221278797979116,-0.0001221059339452657,-0.0028842858138271115
ev,count,0-0,bin_17,20078,0.04138858452037056,0.039679378655425604,-0.0017092058649449543,-0.04129655277540889
ev,count,0-0,bin_18,20078,0.04338081482219345,0.04317100993233866,-0.000209804889854788,-0.004836351984505664
ev,count,0-0,bin_19,20078,0.04462595876083275,0.04651054951484083,0.0018845907540080767,0.042230818257783666
ev,count,0-0,bin_20,20078,0.04108974997509712,0.04450816946157072,0.0034184194864735964,0.08319397145383862
ev,count,0-0,bin_21,20078,0.04801275027393167,0.048708335156450164,0.0006955848825184949,0.014487503393367572
ev,count,0-0,bin_22,20078,0.051449347544576154,0.052566161488286633,0.001116813943710479,0.021707057465458854
