batter,delta_obs,delta_pred,denom_L,denom_R,prior_pa,stand,weight,stratum,delta_route_a
641933,-0.032625747126436844,0.025427072742241597,58.0,150.0,512.0,R,83.65384615384615,high,0.014857842364673413
641943,-0.174484126984127,-0.038483056133292615,18.0,126.0,77.0,L,31.5,low,-0.026253501145267144
642086,-0.09337542087542094,-0.038406535494572236,27.0,198.0,540.0,L,47.52,high,-0.026253501145267144
642133,-0.1667673611111111,-0.05115746515845987,24.0,288.0,474.0,L,44.30769230769231,high,-0.026253501145267144
642136,-0.03390123456790123,-0.03663884292231495,27.0,162.0,128.0,L,46.28571428571429,medium,-0.026253501145267144
642180,0.03092938775510201,-0.02716737111955242,25.0,98.0,161.0,L,39.83739837398374,medium,-0.026253501145267144
642201,0.03639358741681792,0.021748127841036524,95.0,174.0,186.0,R,122.89962825278812,medium,0.014857842364673413
642215,0.0098577235772358,0.023713336366149917,82.0,42.0,60.0,R,55.5483870967742,low,0.014857842364673413
642350,-0.0783010033444816,0.013013394176652204,13.0,23.0,305.0,R,16.61111111111111,medium,0.014857842364673413
642708,0.07801294844381085,0.02113177348985823,122.0,69.0,1072.0,R,88.14659685863874,high,0.014857842364673413
642715,-0.025075524629997792,0.022076463867028495,180.0,503.0,1006.0,R,265.12445095168374,high,0.014857842364673413
642731,-0.03061465371621619,0.022678126474301896,37.0,128.0,510.0,R,57.406060606060606,high,0.014857842364673413
642851,-0.12051297257227572,0.021745921372809007,38.0,71.0,232.0,R,49.5045871559633,medium,0.014857842364673413
643217,0.04418374444704237,-0.032969107146381516,91.0,376.0,1090.0,L,146.53533190578156,high,-0.026253501145267144
643289,0.06363064244240496,0.01449496574429382,114.0,281.0,486.0,R,162.1974683544304,high,0.014857842364673413
643376,0.013752778530767173,0.016942491934716697,119.0,217.0,509.0,R,153.70833333333334,high,0.014857842364673413
643396,-0.0580544477028348,0.02131672288507419,124.0,330.0,826.0,R,180.26431718061673,high,0.014857842364673413
643446,-0.0037091575091575124,-0.0263293369669359,105.0,351.0,891.0,L,161.64473684210526,high,-0.026253501145267144
643565,0.010499192607876573,-0.036216525323274795,71.0,314.0,288.0,L,115.81298701298701,medium,-0.026253501145267144
645277,0.009179054054054059,0.014425304876116873,185.0,480.0,946.0,L,267.0676691729323,high,-0.026253501145267144
645302,0.013405303030303017,0.018562560033497155,48.0,66.0,625.0,R,55.57894736842106,high,0.014857842364673413
