batter,embedding_index,name,stand
593647,810,Sócrates Brito,L
593700,811,Alen Hanson,L
593871,812,Jorge Polanco,L
593934,813,Miguel Sanó,R
593993,814,José Briceño,R
594011,815,Rosell Herrera,L
594555,816,Garin Cecchini,L
594576,817,Jacob May,L
594694,818,Wilmer Difo,L
594760,819,Aaron Blair,R
594772,820,Jake Buchanan,R
594777,821,Kole Calhoun,L
594798,822,Jacob Degrom,L
594807,823,Adam Duvall,R
594809,824,Adam Eaton,L
594824,825,Greg Garcia,L
594828,826,Evan Gattis,R
594838,827,Philip Gosselin,R
594940,828,Daniel Muno,L
594953,829,Daniel Palka,L
594987,830,Casey Sadler,R
594988,831,Scott Schebler,L
594992,832,Kevin Shackelford,R
595005,833,Ryan Strausborger,R
595023,834,Colin Walsh,L
595025,835,Zach Walters,L
595144,836,Jaycob Brugman,L
595191,837,Jerad Eickhoff,R
595222,838,Mike Gerber,L
595238,839,Jacob Hannemann,L
595281,840,Kevin Kiermaier,L
595284,841,Andrew Knapp,L
595373,842,Jack Reinheimer,R
595375,843,Jt Riddle,L
595386,844,Jason Rogers,R
595426,845,Brock Stassi,L
595453,846,Chad Wallach,R
595751,847,Jorge Alfaro,R
595777,848,Jurickson Profar,L
595798,849,R. J. Alaniz,R
595879,850,Javier Báez,R
595881,851,Tyler Beede,R
595885,852,Greg Bird,L
595909,853,Jake Cave,L
595918,854,A. J. Cole,R
595943,855,Phillip Evans,R
595956,856,Cam Gallagher,R
595963,857,Tyler Goeddel,R
595978,858,Austin Hedges,R
595981,859,Scott Heineman,R
596012,860,Kevin Kramer,L
596019,861,Francisco Lindor,L
596056,862,John Nogowski,R
596059,863,Rougned Odor,L
596082,864,Jake Reed,R
596103,865,Austin Slater,R
596105,866,Dwight Smith,L
596115,867,Trevor Story,R
596117,868,Garrett Stubbs,L
596119,869,Blake Swihart,L
596129,870,Dan Vogelbach,L
596142,871,Gary Sánchez,R
596143,872,Luis Sardiñas,L
