batter,in_e5,in_f5,in_intersection,denom_L,denom_R,stand,stratum,pooled_denom,post_selection_descriptive
673548,True,True,True,136.0,446.0,R,medium,582,True
673962,True,True,True,37.0,151.0,R,medium,188,True
673995,True,True,True,37.0,12.0,R,low,49,True
674441,False,True,False,,,,,64,True
675961,True,True,True,27.0,64.0,R,low,91,True
676059,True,True,True,109.0,337.0,R,low,446,True
676070,True,True,True,30.0,42.0,R,low,72,True
676113,True,True,True,23.0,52.0,L,low,75,True
676116,True,True,True,18.0,92.0,L,low,110,True
676356,True,True,True,99.0,260.0,R,low,359,True
676369,True,True,True,70.0,160.0,R,medium,230,True
676391,True,True,True,142.0,307.0,R,medium,449,True
676439,False,True,False,,,,,14,True
676475,True,True,True,140.0,452.0,L,low,592,True
676572,True,True,True,18.0,56.0,R,low,74,True
676609,True,True,True,122.0,357.0,R,medium,479,True
676632,False,True,False,,,,,74,True
676679,False,True,False,,,,,14,True
676694,True,True,True,146.0,364.0,R,medium,510,True
676701,True,True,True,22.0,44.0,R,medium,66,True
676801,True,True,True,89.0,177.0,R,medium,266,True
676914,True,True,True,138.0,316.0,R,low,454,True
677008,True,True,True,16.0,96.0,L,low,112,True
677347,True,True,True,26.0,32.0,R,low,58,True
677587,True,True,True,124.0,315.0,L,low,439,True
677588,True,True,True,48.0,120.0,L,low,168,True
677594,True,True,True,164.0,448.0,R,medium,612,True
677649,True,True,True,92.0,193.0,R,medium,285,True
677800,True,True,True,67.0,380.0,L,low,447,True
677870,True,True,True,61.0,149.0,R,low,210,True
677941,True,True,True,12.0,26.0,R,low,38,True
677942,True,True,True,83.0,101.0,R,low,184,True
677950,True,True,True,25.0,77.0,L,medium,102,True
677951,True,True,True,142.0,558.0,R,medium,700,True
677956,True,True,True,20.0,31.0,R,low,51,True
678009,True,True,True,61.0,236.0,L,low,297,True
678225,False,True,False,,,,,81,True
678246,True,True,True,92.0,145.0,R,medium,237,True
678489,False,True,False,,,,,17,True
678554,True,True,True,50.0,81.0,R,low,131,True
678662,True,True,True,207.0,481.0,R,medium,688,True
678877,True,True,True,63.0,135.0,R,low,198,True
678882,True,True,True,150.0,418.0,R,low,568,True
678894,False,True,False,,,,,10,True
679032,True,True,True,103.0,252.0,R,low,355,True
679529,True,True,True,89.0,291.0,R,medium,380,True
679822,True,True,True,18.0,26.0,R,low,44,True
679845,True,True,True,52.0,118.0,R,low,170,True
679881,False,True,False,,,,,10,True
680118,True,True,True,69.0,61.0,R,low,130,True
680474,True,True,True,103.0,351.0,R,low,454,True
680577,False,True,False,,,,,14,True
680700,True,True,True,31.0,282.0,L,low,313,True
680716,True,True,True,15.0,24.0,R,low,39,True
680718,True,True,True,37.0,187.0,L,low,224,True
680728,True,True,True,18.0,69.0,L,low,87,True
680737,False,True,False,,,,,10,True
680757,True,True,True,158.0,380.0,L,medium,538,True
680776,True,True,True,229.0,504.0,L,medium,733,True
680777,True,True,True,141.0,323.0,R,medium,464,True
680779,True,True,True,29.0,91.0,R,low,120,True
680869,True,True,True,125.0,419.0,R,low,544,True
680911,False,True,False,,,,,27,True
680977,True,True,True,194.0,458.0,L,medium,652,True
681082,True,True,True,129.0,441.0,L,medium,570,True
681146,True,True,True,99.0,172.0,R,low,271,True
681297,True,True,True,146.0,413.0,L,low,559,True
681351,True,True,True,111.0,410.0,R,low,521,True
681393,True,True,True,63.0,131.0,R,low,194,True
681460,True,True,True,30.0,90.0,L,low,120,True
681481,True,True,True,31.0,261.0,L,low,292,True
681508,False,True,False,,,,,23,True
681546,True,True,True,17.0,139.0,L,medium,156,True
681584,True,True,True,20.0,17.0,R,medium,37,True
681624,True,True,True,106.0,336.0,R,low,442,True
681807,True,True,True,161.0,225.0,R,low,386,True
682073,True,True,True,41.0,17.0,R,low,58,True
682119,False,True,False,,,,,11,True
682177,True,True,True,36.0,185.0,L,low,221,True
682617,True,True,True,25.0,56.0,R,low,81,True
682622,True,True,True,45.0,197.0,R,low,242,True
682626,True,True,True,82.0,260.0,R,medium,342,True
682634,False,True,False,,,,,10,True
682641,True,True,True,50.0,105.0,R,low,155,True
682657,True,True,True,44.0,124.0,L,low,168,True
682668,True,True,True,16.0,24.0,R,low,40,True
682729,True,True,True,28.0,38.0,L,low,66,True
682829,True,True,True,215.0,477.0,L,medium,692,True
682868,True,True,True,41.0,66.0,R,low,107,True
682928,True,True,True,188.0,410.0,L,medium,598,True
682985,True,True,True,151.0,429.0,L,medium,580,True
682988,True,True,True,17.0,32.0,R,low,49,True
682998,True,True,True,206.0,475.0,L,medium,681,True
683002,True,True,True,217.0,501.0,L,medium,718,True
683011,True,True,True,189.0,496.0,R,medium,685,True
683021,True,True,True,44.0,79.0,R,low,123,True
683083,True,True,True,30.0,43.0,L,low,73,True
683146,True,True,True,36.0,133.0,L,low,169,True
683734,True,True,True,156.0,463.0,R,medium,619,True
683737,True,True,True,100.0,466.0,L,low,566,True
686217,True,True,True,92.0,427.0,L,low,519,True
686452,True,True,True,17.0,45.0,L,low,62,True
686469,True,True,True,122.0,430.0,L,medium,552,True
686482,False,True,False,,,,,37,True
686527,True,True,True,14.0,172.0,L,low,186,True
686554,False,True,False,,,,,103,True
686555,False,True,False,,,,,19,True
686611,True,True,True,42.0,90.0,R,low,132,True
686668,True,True,True,164.0,434.0,R,medium,598,True
686676,True,True,True,104.0,290.0,R,low,394,True
686681,True,True,True,64.0,289.0,L,medium,353,True
686765,True,True,True,19.0,67.0,L,low,86,True
686780,True,True,True,82.0,135.0,R,low,217,True
686797,True,True,True,52.0,131.0,L,low,183,True
686823,True,True,True,35.0,316.0,L,low,351,True
686894,True,True,True,18.0,10.0,R,medium,28,True
687093,True,True,True,24.0,90.0,R,low,114,True
