batter,stand,stratum,dim,gradient
664761,R,high,13,0.000892958545352034
665742,L,high,13,0.0005831169631234478
665926,L,medium,13,-0.0008041434628303749
667472,R,low,13,0.0018138592384889195
668709,L,medium,13,-0.0002918785681108095
669289,R,medium,13,0.0017301796750266228
669394,R,medium,13,0.003352350704166386
676113,L,low,13,0.0
677347,R,low,13,0.002932651669637024
680474,R,low,13,0.0
680718,L,low,13,0.0
680776,L,medium,13,-0.00035822393459507317
680869,R,low,13,0.0030607667783056998
681146,R,low,13,0.0009286985316621535
682177,L,low,13,0.0
682626,R,medium,13,0.0015424205955249703
686527,L,low,13,-0.0008793247640332423
686894,R,medium,13,0.00193829966880517
691718,L,low,13,-0.0005397585417532644
700250,L,low,13,0.0
457705,R,high,14,-3.754047675270707e-05
467793,L,high,14,-0.0016588941037120957
502671,R,high,14,-0.00044944251706845027
545121,L,medium,14,-0.0015770935034554747
545361,R,high,14,0.0008049283981301637
571745,R,high,14,-0.0014740150358238148
592325,L,high,14,-0.00044911154545912186
592626,L,high,14,5.2928963762834924e-05
593871,L,high,14,-0.0015349498679781695
595978,R,high,14,-0.0008767025493277931
605131,R,high,14,-0.0015272229737574414
605170,L,medium,14,-0.0022083171678491317
605346,R,low,14,-0.0006972128949116947
608336,L,high,14,-0.0013933833304975204
624428,L,high,14,-0.002731510381950667
650859,L,high,14,-0.0013707221926752512
656555,R,high,14,-0.0016179143332372141
656941,L,high,14,0.00020073721473050262
660707,R,medium,14,0.0003103726300242589
662139,L,medium,14,-0.0027818501091446636
664761,R,high,14,-0.0005000394888354706
665742,L,high,14,-0.002028722117834219
665926,L,medium,14,-0.000992215045978732
667472,R,low,14,-0.0008972920874440372
668709,L,medium,14,-0.0011905975716398017
669289,R,medium,14,-0.0011855262173303316
669394,R,medium,14,-0.0006801593757348122
676113,L,low,14,0.0
677347,R,low,14,-0.00030299952956101307
680474,R,low,14,0.0
680718,L,low,14,0.0
680776,L,medium,14,-0.0002635101629207517
680869,R,low,14,-0.001197228067594303
681146,R,low,14,-0.0006540841315064365
682177,L,low,14,0.0
682626,R,medium,14,-0.0007940437074073534
686527,L,low,14,-0.000319643749761841
686894,R,medium,14,-0.00014083962633135372
691718,L,low,14,-0.0033753435815960897
700250,L,low,14,0.0
457705,R,high,15,-0.00013612360712901407
467793,L,high,15,-0.0028611736129354505
502671,R,high,15,-0.000977061950883719
545121,L,medium,15,-0.003342167136959249
545361,R,high,15,0.00032916513149922115
571745,R,high,15,0.001360260781260596
592325,L,high,15,8.09608081601063e-05
592626,L,high,15,-0.0003202065436654057
593871,L,high,15,-0.002737049830372985
595978,R,high,15,0.0018010765529583993
605131,R,high,15,2.2588181142985985e-05
605170,L,medium,15,-0.006085744242691412
605346,R,low,15,0.0016266570532825696
608336,L,high,15,-2.690154831280723e-06
624428,L,high,15,-0.0015503571374959168
650859,L,high,15,-0.00359740894580523
656555,R,high,15,0.002731901786362597
656941,L,high,15,-0.0003056899817470904
660707,R,medium,15,0.0023398388959351654
662139,L,medium,15,-0.0005055113307599085
664761,R,high,15,0.002227561180523888
665742,L,high,15,-0.0012403978452529588
665926,L,medium,15,-0.0026880139367354643
667472,R,low,15,0.0008958296175415895
668709,L,medium,15,-0.0027104832170935255
