batter,embedding_index,swing,contact,split_inplay,ev,la,spray
517369,378,0.47585467,0.6764995,0.41564286,84.30578,6.5660057,1.6674716
517370,379,0.5857761,0.5979882,0.38739136,84.82844,8.723547,4.6383376
518170,380,0.48620752,0.62394714,0.37666753,82.696144,9.531406,2.3446949
518418,381,0.46726885,0.62559414,0.3741624,81.96556,10.033038,2.4944108
518466,382,0.44518128,0.4792428,0.30245438,81.67,8.110156,4.514871
518490,383,0.46116295,0.66288126,0.40098125,83.51572,5.7972713,-0.37917143
518542,384,0.44618508,0.67905664,0.405966,80.02225,6.718828,0.4566277
518568,385,0.43794093,0.6887665,0.4217021,79.76992,7.2610774,3.6683395
518577,386,0.4775111,0.6100453,0.37913683,81.11705,9.212553,4.257354
518586,387,0.5372086,0.63829774,0.3919956,80.8045,8.095836,3.1459858
518595,388,0.49965814,0.65097994,0.39296806,84.168655,12.218535,3.8349202
518614,389,0.4295525,0.6133366,0.3682138,81.039246,10.501074,3.326216
518618,390,0.5036943,0.6797337,0.39425367,82.484146,10.5741205,2.2312846
518625,391,0.4694003,0.64898705,0.3910791,82.09039,9.4463825,2.2149265
518626,392,0.45136407,0.62668514,0.39647442,85.807106,10.944125,5.1804385
518649,393,0.46789435,0.58696926,0.3480885,82.23028,9.755376,2.246831
518653,394,0.36814845,0.6917395,0.40545997,78.23526,6.6463437,-1.462641
518692,395,0.52818763,0.6615166,0.38246393,85.51673,9.966951,0.28853828
518700,396,0.40895832,0.59759605,0.34278655,78.25287,8.399848,0.9368768
518735,397,0.40205723,0.63230747,0.40813842,83.67686,9.477603,1.4297448
518755,398,0.45195973,0.6325784,0.3719887,82.138954,10.393684,1.8316963
518764,399,0.4723445,0.6351624,0.3793366,81.6866,9.866838,2.175592
518792,400,0.465563,0.70271116,0.44955027,83.57184,7.6358824,5.8054996
518902,401,0.42365545,0.64509034,0.38707516,78.33104,9.255752,0.1548097
518911,402,0.46636328,0.6061907,0.36946633,82.49956,10.127767,5.2542973
518934,403,0.41621777,0.7299049,0.43814906,84.4518,4.546508,-5.002382
518953,404,0.49143595,0.6691067,0.40193555,80.641335,10.076002,2.103891
518960,405,0.4157353,0.75122684,0.4343068,82.28329,9.203096,-2.3076162
518991,406,0.44767013,0.626072,0.37241703,80.95821,9.573648,1.8228455
519023,407,0.4658845,0.6781515,0.3969289,80.96467,13.843374,8.5837555
519025,408,0.45980734,0.61612314,0.37955254,82.76498,11.894141,3.3233025
519037,409,0.48452723,0.59774685,0.3565556,81.52959,10.768395,2.9433799
519048,410,0.49302906,0.61650085,0.38180122,83.485435,7.318962,4.7485666
519058,411,0.5244585,0.6913623,0.41518965,84.858315,13.140728,4.47189
