,Hard throwers (top 20% velo),Soft tossers (bottom 20% velo),Fastballs up (top 20% share of FBs in top third of zone),Fastballs rarely up (bottom 20% share of FBs in top third of zone),Breaking balls buried (top 20% share of breaking balls below zone),Breaking balls rarely buried (bottom 20% share of breaking balls below zone),Breaking-ball heavy (top 20%),Fastball heavy (bottom 20% brk),"North-south (top 40% on both: FBs in top third, breaking balls below zone)","Power elevators (top 40% on both: velo, FBs in top third of zone)","Soft breakers (velo bottom 40%, brk top 40%)",name,stand,prior_pa_R
686611,0.3793642963236575,1.3313021135816157,-1.0902263344808252,0.6319238312291318,-0.9749192419018073,0.9077156643623314,0.3828634210813949,0.10331579338893755,-0.8740045295807103,-0.7415754943839786,0.8211535405654433,Dylan Crews,?,0.0
592206,-0.0037420359806384085,-1.084512982032217,-0.19597626200825047,-2.1138632661459207,-2.8822426974726056,2.0426692013263086,-2.580264104742294,2.518396886426589,0.47966146700805046,0.7371838181771578,-3.294530542856378,Nick Castellanos,R,3895.0
592518,4.029243572147454,-10.41455919440749,0.26927623569946085,-1.3127900720097212,0.6455322914313246,-1.2503328934998468,-4.339533597497676,3.095041620305697,2.015509388359905,4.264662653643812,-8.858463847717369,Manny Machado,R,4123.0
593428,5.141477320378055,-8.059729008887905,5.172735386625767,-6.8892469725935115,-0.014234148023965826,-1.1047735123498836,0.18101350804354716,0.29885837044394453,7.118096302392198,7.533668472473362,-6.7544464322961835,Xander Bogaerts,R,4039.0
521692,-1.977573677779735,-3.781783180277187,-0.9389040400345156,-1.7452285708986714,-0.7851036188438938,1.0640207946488747,-2.758317701719663,0.7419682618208076,2.4982549989734153,0.6276970312548541,-1.3092565556720133,Salvador Pérez,R,2888.0
641658,3.3359144744988383,-1.0234488177228922,-1.7739158383910971,1.7908206105968856,0.9760135906772773,0.18027343409314686,-2.6047740003921818,1.9186589618644223,-0.4538567091271278,0.5473277536075224,-2.3080278463667767,Garrett Hampson,R,993.0
657557,-7.2258262130742175,4.313860105322371,-5.381331776051897,6.878712405804213,-0.46296023217881954,0.8170765318037748,0.3620265966447285,-2.1028101180402525,-6.49995678797767,-7.182512384391589,3.6545761075784258,Paul Dejong,R,2164.0
680118,-1.6357995214183136,2.282959660766835,1.8665729067266827,-0.8037450498345268,-1.3203594300143557,0.6799892393813732,3.2572508607663173,-3.106915918217956,-0.8183104408607834,-1.0268598809625982,3.539692705325197,Dairon Blanco,R,98.0
663853,-5.460038397328077,5.662133735627167,-2.3393364680101896,1.9153061929288788,-3.0495819186349684,1.777046807189792,-1.1966995534837646,3.4450194676344177,-3.9959460539459273,-5.153134846228264,2.2466408472262698,Romy Gonzalez,R,154.0
641933,-4.5839883500372895,2.8010008915020093,-0.5842501478169441,2.4036911517972324,1.244142720389105,-1.6829077464217401,-2.8932595653414515,2.0642364164505174,-2.146093039193693,-3.1154529175073065,0.44313575803262045,Tyler O'Neill,R,1276.0
596115,-2.9633040797171417,1.5990846208863687,-5.920803084355995,7.356785498168051,-0.3285122419312942,0.01365347821472048,-3.134576518670771,1.7970253293244804,-6.960916142206367,-4.607852283492962,-0.5057576876754817,Trevor Story,R,2672.0
650490,2.7723286662586566,-5.523925861286159,8.286992131866505,-6.4769025977294765,1.1453733634032928,-2.6788042549965123,0.6284423728017968,-1.3034630363768434,5.261503040839672,6.720006740932381,-4.68051669088762,Yandy Díaz,R,1699.0
643376,0.02939372484884291,-1.370410143244337,-2.48551739505047,4.03638730290522,4.458349595213581,-2.8020899453584964,0.5200177953878343,-3.3458062902998322,-1.5055565517415241,-1.350627165758974,0.5021385436630206,Danny Jansen,R,957.0
642350,-5.672950137017864,4.393810718239349,-2.6582082338702895,4.087939438671611,-2.190944363693144,0.7351998285441985,0.27644901609357525,-1.5402099645512046,-4.798402040773987,-4.711371301024002,4.115995313944169,José Siri,R,543.0
665804,-0.19122231130979156,0.18597052984312623,-3.769043134000197,3.19726572741397,1.5082960184911192,0.041981406341751036,-0.8065228394106343,0.4303819810664762,-1.759518091007139,-2.835452791803625,-1.0729458754976757,Miguel Amaya,R,91.0
621020,-0.9023059594168206,-0.16936508791465615,0.10087464258992651,-0.9819286172263503,2.632695213999019,-0.8786711741386509,-0.3668737952584324,-0.705719554620185,2.6428378195750857,0.1071553996447306,-0.23556095183033526,Dansby Swanson,R,3112.0
669289,5.808565773063584,-4.9880509933944115,-1.1010744709441207,-0.5601722148703832,3.372253551882016,-1.083751808599276,1.837692398238768,-2.6222707782201975,3.5325490511047466,4.413813625602801,-1.9179238803111796,Santiago Espinal,R,675.0
621550,-6.969013280156565,5.676260406915226,-8.710446736344775,11.287909998242842,2.8217259338811624,-1.4504568606982344,-5.25701601058593,2.0032797703288723,-10.077341765395134,-9.767464320881617,1.8067325720315983,Patrick Wisdom,R,875.0
678877,0.3793642963236575,1.3313021135816157,-1.0902263344808252,0.6319238312291318,-0.9749192419018073,0.9077156643623314,0.3828634210813949,0.10331579338893755,-0.8740045295807103,-0.7415754943839786,0.8211535405654433,Jhonkensy Noel,?,0.0
701305,0.3793642963236575,1.3313021135816157,-1.0902263344808252,0.6319238312291318,-0.9749192419018073,0.9077156643623314,0.3828634210813949,0.10331579338893755,-0.8740045295807103,-0.7415754943839786,0.8211535405654433,Zach Dezenzo,?,0.0
657041,-0.06238142898247614,1.0308314410884207,3.351655531144121,-1.1710375562976376,1.869077979296766,-0.8940742714510133,4.376607296663123,-4.190974001603177,1.3960322355842545,0.8418080731572275,3.6777081740429356,Lane Thomas,R,1087.0
665161,2.7388129222065785,-5.340487169408481,8.201437762301254,-9.300250544354382,-2.2546030849631054,0.4508602173214351,2.6646305427952743,-0.12319677626947646,7.114870688602433,6.003263223930868,-2.466445062506636,Jeremy Peña,R,858.0
666197,-1.4342221314584087,2.7698936951628124,-3.594409092034291,4.454340861398151,0.5387418717671488,0.5304151430635536,-0.04366881875689473,-0.7395187179995926,-3.803813617408866,-3.7140513677310305,1.7184948588573437,Grae Kessinger,R,33.0
676694,3.3654596219455715,-1.9541300612905603,0.1689551984597391,-1.3545168575300677,3.3343490598325145,-1.8995288697081234,1.143060758838877,-1.1460067653207393,2.9537085224931308,2.712130601112476,-0.16789866654996413,Jake Meyers,R,472.0
643289,3.036978176201905,-3.2721354549066626,-2.9783371683365503,2.356265462103417,0.39949613297895287,-0.08005581239102308,0.2901356538622615,-0.7044652949006792,0.27634699711657335,1.1905263481928696,-0.6793188968287285,Mauricio Dubón,R,864.0
669257,0.8547944620095103,-1.7038098144107474,-4.3031174370381775,6.887092243248902,4.689354511774858,-2.700554902898276,-1.2753173599462277,-0.9167007623313557,-2.93269088686471,-2.322877981662021,-1.2186500055867173,Will Smith,R,1437.0
696100,-2.86490871296265,2.4955958133318825,-6.426893418363899,6.47986317206676,-2.1300918144543393,0.9670495843175344,-1.5764658424863796,2.5713894109100566,-7.248242114546805,-4.881085365665196,0.5139667176362762,Hunter Goodman,R,64.0
628451,2.699692804469031,-3.8070172654673273,3.363639345452275,-4.175988941293586,0.18668167238511013,-1.3024158120810865,1.6769326299434824,-3.8135490971028037,3.5517427052031647,5.024483936067789,-1.5210555708608577,Andy Ibáñez,R,522.0
669234,0.3793642963236575,1.3313021135816157,-1.0902263344808252,0.6319238312291318,-0.9749192419018073,0.9077156643623314,0.3828634210813949,0.10331579338893755,-0.8740045295807103,-0.7415754943839786,0.8211535405654433,Justyn-Henry Malloy,?,0.0
693307,0.3793642963236575,1.3313021135816157,-1.0902263344808252,0.6319238312291318,-0.9749192419018073,0.9077156643623314,0.3828634210813949,0.10331579338893755,-0.8740045295807103,-0.7415754943839786,0.8211535405654433,Dillon Dingler,?,0.0
642020,-3.2038190438576755,4.111165122001081,-0.812607976728018,0.5826826036014091,-3.140362125290694,1.8753354339954567,1.04435241184121,-0.14247827362684454,-2.587322155157338,-2.7361701272351304,3.4463788791912293,Chuckie Robinson,R,48.0
681351,2.108371477494591,-4.234132350909637,0.45363001143588577,-1.6982380208134302,0.5262901601682901,-0.21057439875145764,0.3995454098957533,-0.14188289493940875,2.382627095340771,2.2957398349385505,-2.646209478901616,Logan O'Hoppe,R,164.0
608348,2.225950785407543,-2.7476191681585886,-0.9020398203616771,1.9679017590067194,1.5051868414403884,-0.7615581713724348,1.1556146673266041,-1.7391964210363093,-0.7877435366747266,0.9117251958849072,-1.6665762777492747,Carson Kelly,R,992.0
680716,1.4729325179744581,0.3196905419238782,-1.040335223122843,0.248749804095437,-0.6762585408012736,0.9392123066405076,-0.1967028942273183,1.0145400708448187,-0.07466111436224292,-0.35742523751378263,-0.5620572089996456,Jonathan Ornelas,R,3.0
666969,-3.4081821378954458,-0.4581681993771486,-2.884211429677844,3.043158471977626,-1.7831702665998557,0.44741793186917805,0.005333875078835487,-1.4721551894188796,-3.598448555657575,-2.6630767551756818,0.8207885462148734,Adolis García,R,1353.0
656555,0.2616373379244683,-1.9830877780337917,2.4217551366830894,-1.0764719001867178,3.599444617009475,-1.6409682231962155,-2.880164823841151,1.854907772635287,2.404138657622472,0.3319975397197639,-3.118396907335505,Rhys Hoskins,R,2093.0
642715,-4.397477978331786,3.2033094804333113,-0.506913768960512,2.2262633133524083,0.4413046801792445,0.6009063473086498,0.1662258357394612,-0.5881751353663764,-1.6028186698619642,-3.5727751376741095,1.5915000013504932,Willy Adames,R,2078.0
661388,-1.8580437136776806,1.3357641237636866,0.49982840082913843,-1.6872742718058142,-1.1847939747658924,1.3760952868337357,-2.6519164849117645,3.246600061718485,-0.4630250343100693,-1.382578263947379,-1.930634912180793,William Contreras,R,848.0
680777,-2.9583805098167653,3.231843657130541,-2.136693755443174,3.774905422047645,-0.38340729874513324,0.6431459189256323,2.3466555204995023,-0.543760344652282,-3.9324786889603955,-4.258328060254081,3.6675557748955825,Ryan Jeffers,R,636.0
643396,4.825765944233038,-4.189093068279849,8.20114688293051,-8.291370221759445,-0.6079271838867706,-0.15417675918037074,2.9372625898764144,-0.8870600076477784,7.903453872019342,7.488791063168528,-1.3291951041780266,Isiah Kiner-Falefa,R,1707.0
519317,-10.146023729725533,7.48199792454365,5.819385723649154,-3.2168775117288995,-3.8545333229096,1.491589006403747,-0.8258156725702307,4.006619842398921,-1.9274151051283783,-4.227051446423908,2.904436442213274,Giancarlo Stanton,R,2874.0
