pitcher,p_throws,n_pitches,n_fb,fb_velo,fb_height,brk_share,bf,fb_velo_tercile,fb_height_tercile,brk_share_tercile
621345,L,5273,2420,96.20694214876032,2.662841051291367,0.00018964536317087047,1297,2,1,0
621348,L,895,598,92.27190635451505,2.105984554671241,0.23575418994413408,240,1,0,1
621363,L,2759,2117,92.91388757675958,2.8784925734715214,0.22798115259151866,698,2,2,1
621366,L,3350,1681,92.90452111838192,2.3873091364293897,0.32417910447761195,889,1,0,2
621368,L,4195,2679,94.69548338932438,2.64509089143578,0.25148986889153757,1050,2,1,1
621381,L,6397,3537,93.21439072660446,2.805127140758246,0.17351883695482256,1624,2,2,0
621383,L,1899,784,92.70522959183673,2.7201517852550587,0.4049499736703528,472,1,2,2
621385,L,1949,1066,93.1077861163227,2.808161703295169,0.37249871729091844,493,2,2,2
621389,L,7028,4055,90.08409371146732,2.406927605056439,0.13659647125782584,1894,0,0,0
621397,L,1550,696,88.2110632183908,2.282260890912719,0.39741935483870966,413,0,0,2
621408,L,477,302,92.98079470198675,2.741473957089605,0.33752620545073375,123,2,2,2
621593,R,731,372,95.05053763440861,2.391149230969626,0.4746922024623803,179,2,0,2
621962,L,405,215,90.55488372093023,2.681615802501906,0.10864197530864197,96,0,2,0
622065,L,4325,1552,90.18659793814433,2.173713482322547,0.23630057803468207,1128,0,0,1
622072,L,15469,7576,91.01259239704329,2.529455430472302,0.281013640183593,3969,0,1,1
622075,R,3428,1666,95.20522208883553,2.3900277542907853,0.43903150525087514,887,2,0,2
622088,R,1209,445,95.9265168539326,2.7377888699930244,0.6178660049627791,288,2,2,2
622092,R,1738,918,94.76165577342047,2.6192886783713694,0.44016110471806674,416,2,1,2
622097,R,1986,1155,91.3178354978355,2.4838533824559077,0.23464249748237664,508,0,0,1
622098,R,3007,1761,95.38381601362862,2.983832836227166,0.27968074492850015,740,2,2,1
622103,R,720,520,96.70923076923077,2.7478730051970683,0.2777777777777778,176,2,2,1
622161,R,674,412,93.22985436893204,2.685106377359385,0.28635014836795253,178,1,2,1
622217,L,680,278,87.38776978417266,2.618355956640298,0.07352941176470588,166,0,1,0
622250,R,2556,1251,96.64324540367706,2.7865585016443615,0.5105633802816901,628,2,2,2
622251,R,2977,1950,96.62461538461538,2.7759357771580118,0.3406113537117904,729,2,2,2
622253,R,2744,1536,94.61614583333333,2.3876973489711903,0.10021865889212828,736,2,0,0
622259,R,1534,873,96.2615120274914,2.490648842068631,0.4302477183833116,373,2,1,2
622382,L,731,312,89.8125,2.812976863236106,0.18604651162790697,185,0,2,1
622446,R,2103,1436,94.5350974930362,2.4371175072697913,0.2253922967189729,532,2,0,0
622491,R,17257,9668,96.63236450144807,2.6102434951075995,0.1838674161209944,4254,2,1,0
622492,R,493,349,94.82263610315186,2.3402710313219544,0.2210953346855984,140,2,0,0
622503,R,2760,755,89.95602649006624,2.51923935497172,0.22934782608695653,722,0,1,0
622505,R,1260,934,93.3815845824411,2.0967673956594126,0.09365079365079365,340,1,0,0
622554,R,3080,2066,97.79370764762827,2.4587523576911545,0.2766233766233766,774,2,0,1
622608,R,11079,6851,94.11046562545614,2.5429565516017254,0.3128441195053705,2889,1,1,1
622663,R,12061,6120,96.98575163398694,2.6702981360049076,0.3051156620512395,3015,2,2,1
622694,R,4883,2719,90.92203015814638,2.698684457987496,0.3188613557239402,1211,0,2,1
622766,R,2174,1196,95.23076923076923,2.5800034300356347,0.15823367065317387,532,2,1,0
622772,R,1802,1223,97.21349141455438,2.307469683338062,0.18035516093229745,495,2,0,0
622774,L,248,120,93.57416666666667,2.741403491934923,0.5161290322580645,68,2,2,2
622780,L,919,583,94.20909090909092,2.714485036529999,0.2763873775843308,214,2,2,1
622783,R,279,175,94.98285714285714,2.650743640974059,0.21505376344086022,70,2,2,0
622786,R,1141,670,94.36820895522388,2.054122698875797,0.4040315512708151,282,1,0,2
622795,L,852,479,92.09436325678496,2.676039548231438,0.19131455399061034,210,1,2,1
622797,R,416,194,93.52474226804124,2.5290583031632377,0.33653846153846156,102,1,1,1
622864,R,1231,785,95.74433121019109,2.5033835637065143,0.25751421608448416,317,2,1,1
623149,R,5734,3427,91.64120221768312,2.6938157910066374,0.3793163585629578,1390,0,2,2
623167,R,8071,3545,92.33007052186177,2.7502660131408185,0.12266138025027877,2121,0,2,0
