batter,stand,stratum,centered_obs,centered_pred,agree
607043,L,high,0.031470246816217656,0.0009430327325332215,True
607208,R,high,0.02891274285588179,0.005740139126069717,True
607680,R,high,0.1035173373579941,0.004117016957586516,True
607732,R,medium,0.04829672948921959,0.0014911177427115174,True
608070,L,high,0.13991223259694577,0.03303641973093072,True
608324,R,high,-0.05331406360955081,-0.0014289725326646838,True
608336,L,high,-0.10430790944628734,-0.014640882990708974,True
608348,R,high,0.04545082875919679,-0.0009934945592033825,False
608369,L,high,-0.06833207446791476,-0.008415678223080474,True
608385,L,high,-0.008135982444717547,-0.005293412451195176,True
608596,R,high,-0.1292967748276925,0.0006939602398227177,False
608671,L,medium,-0.21558006650498715,-0.006582295096910877,True
608701,R,high,0.06194499427277218,0.0033238438149835164,True
608841,R,medium,-0.08651847095563861,-0.0011131658563718824,True
609280,R,medium,0.1390833733949071,0.0022700453529180178,True
620443,R,medium,0.01826849090096529,-0.0013908559165899826,False
621020,R,high,0.07585799046121909,0.0004194592190327178,True
621028,R,high,-0.00249918960041981,0.0002950811410046168,False
621035,R,high,-0.050912899856188715,-4.438673463258262e-05,True
621043,R,high,0.0068935766139227896,0.005986478145924118,True
621438,R,medium,-0.01469476686361561,0.0024097325273209156,False
621439,R,high,-0.011271418364109609,-0.0019937040927441828,True
621466,L,medium,-0.12876477344887163,-0.007395479885443278,True
621493,R,high,0.044236424899409696,0.003269389902244518,True
621512,R,medium,-0.1253841726826465,-0.002864410616485784,True
621545,R,low,-0.04017745664587431,-0.005985653933190583,True
621550,R,medium,-0.01199177545813011,-0.003017477421533084,True
621566,L,high,0.057198115769441456,-0.010296199955560775,False
622534,R,high,0.052344772221749186,0.0020412332673374178,True
622569,R,medium,0.02427790049698279,-0.0023711732816572833,False
622761,R,medium,0.08164986397411858,0.0001839051342816169,True
623520,R,medium,-0.020231433918601608,0.002668515283764718,False
623912,R,high,0.015494816081398393,0.0016227344428986178,True
623993,L,high,0.021366246317327454,0.016250474431976823,True
624413,R,high,-0.00795772246690751,0.0008268821993241172,False
624415,L,medium,-0.004863461986452343,-0.0038543712970729796,True
624424,L,high,0.09803798374310835,-0.004941611839014974,False
624428,L,high,-0.04842015117920875,0.0053153246764297245,False
624431,R,medium,-0.02664029780956501,0.005703957082836416,False
624503,L,medium,0.011201287653605254,-0.0035381880876727764,False
624512,L,medium,-0.0025526528545996435,0.00017541780874892263,False
624585,R,high,0.04588432290521968,0.0018213541653856174,True
624641,R,medium,0.06948502419808598,-0.005940091706782082,False
628451,R,medium,0.1496005556196379,-0.0006433817282786823,False
630105,L,high,-0.06213128275826774,0.00015532091609562343,False
640492,R,medium,-0.08413270052989721,-0.0017499298141707836,True
640902,R,low,0.015597425799266689,0.0004478704994059172,True
641313,R,high,0.03148865898058899,-0.0018780218543501832,False
641343,L,medium,0.036564942759110854,-0.007714471451493676,False
641355,L,high,0.028351529522584455,0.0032815323021797224,True
641432,L,medium,-0.04857959163703634,-0.0028776170499172776,True
641487,L,high,0.10890963194089676,-0.0005091471908431761,False
641584,L,medium,-0.04014005073838694,-0.002722977229653978,True
641598,R,high,0.06338767636588269,-0.00032603607246348316,False
641645,L,medium,-0.16740934446561495,0.004736008315843424,False
641658,R,high,0.009834589506897591,0.0007017714868421173,True
641680,L,medium,0.07363322044389706,0.035066740178110525,True
641779,R,low,-0.11123255571347342,0.002180707989227716,False
