batter,embedding_index,n_pitches,swing_rate,stand,whiff_rate,contact_rate,chase_rate,zone_swing_rate,ev_mean,ev_p90,la_mean,bat_speed_mean,pull_rate,woba_level,prior_pa_L,prior_pa_R,n_pa_L,n_pa_R,log_prior_pa,stratum,obs_platoon_diff,name,stand_names,mean_cosine_real,mean_cosine_null
477165,312,1520,0.4342105263157895,L,0.3318181818181818,0.6681818181818182,0.287221570926143,0.6221889055472264,88.16868686868688,106.83,10.41919191919192,,0.5368421052631579,0.3106824512534819,71.0,288.0,71.0,288.0,5.886104031450156,low,-0.0141954225352113,Brett Wallace,L,0.9409851753566317,0.13801692592094086
477195,313,984,0.4430894308943089,L,0.1743119266055045,0.8256880733944955,0.2734375,0.6271186440677966,87.70391061452514,103.62,5.648044692737431,,0.4080459770114942,0.2843385826771653,20.0,234.0,20.0,234.0,5.541263545158426,low,0.0563235042735043,Ike Davis,L,0.8830261169085312,-0.0710429781178317
485567,314,3195,0.4081377151799687,L,0.2300613496932515,0.7699386503067485,0.2428741092636579,0.5923229649238915,85.78514851485149,101.56,4.407920792079208,,0.5,0.3150037037037037,149.0,661.0,149.0,661.0,6.698268054115413,medium,0.0148493435815166,Ezequiel Carrera,L,0.9045194018987851,-0.18528585500833655
488671,315,6098,0.3673335519842571,L,0.34375,0.65625,0.1346911957950065,0.5992141453831041,90.48645833333332,104.7,10.589285714285714,,0.4719626168224299,0.3196513958482462,209.0,1188.0,209.0,1188.0,7.242797922793756,medium,0.0515727449937976,Alex Avila,L,0.9146694943376219,-0.11912531092792603
488681,316,1504,0.5285904255319149,R,0.289308176100629,0.710691823899371,0.348,0.7082228116710876,86.81589147286822,101.73,11.887596899224809,,0.3524904214559387,0.2790547263681592,107.0,295.0,107.0,295.0,5.998936561946683,low,-0.052035925867258,Brandon Barnes,R,0.8914715991340727,-0.1593987501104253
488689,317,244,0.4795081967213114,L,0.1623931623931623,0.8376068376068376,0.2384615384615384,0.7543859649122807,83.55116279069767,98.58,18.697674418604652,,0.3571428571428571,0.2810307692307692,5.0,60.0,5.0,60.0,4.189654742026425,low,-0.5726166666666667,Mike Baxter,L,0.8598050816646772,-0.05806475152030988
488703,318,9,0.4444444444444444,R,0.25,0.75,0.5,0.4,85.30000000000001,87.22,-8.5,,0.0,0.0,1.0,1.0,1.0,1.0,1.0986122886681098,low,0.0,Jeff Bianchi,R,0.8777204600305121,-0.02894107104734127
488721,319,3245,0.5035439137134052,R,0.2772337821297429,0.7227662178702571,0.3191237418590882,0.7037275064267352,86.86434782608696,102.8,9.539130434782608,,0.4245115452930728,0.2720632054176072,317.0,569.0,317.0,569.0,6.787844982309579,medium,0.0110371840574809,Peter Bourjos,R,0.7991312966999445,-0.0320084521136904
488726,320,12002,0.4336777203799367,L,0.0977905859750239,0.902209414024976,0.2324495581123895,0.6346378018318068,89.27896143566247,103.1,9.993508972890416,67.37764705882353,0.4487728866380989,0.3548206686930091,1054.0,2236.0,1054.0,2236.0,8.098946748943339,high,0.0721868179148859,Michael Brantley,L,0.9067936558459674,-0.01280800899732873
488768,321,357,0.4117647058823529,R,0.3061224489795918,0.6938775510204082,0.3224043715846995,0.5057471264367817,84.20961538461538,101.78,-6.038461538461538,,0.4313725490196078,0.0834754098360655,12.0,49.0,12.0,49.0,4.127134385045092,low,-0.0125221088435374,Andrew Cashner,R,0.9308218254682662,-0.0186132368744143
