anchor,anchor_name,p_throws,x_bin,z_bin,n_pitches,quantity,anchor_value,league_value,delta
592626,Joc Pederson,R,1.0,1.0,1911,p_swing,0.6232868780575455,0.6272466055640996,-0.003959727506554156
592626,Joc Pederson,R,1.0,1.0,1911,p_contact,0.8473962269828682,0.8482317983787575,-0.0008355713958893007
592626,Joc Pederson,R,1.0,1.0,1911,q,0.4418815650798337,0.3667129213316537,0.07516864374818005
592626,Joc Pederson,R,1.0,2.0,2285,p_swing,0.6939539025882075,0.6753376039294566,0.01861629865875092
592626,Joc Pederson,R,1.0,2.0,2285,p_contact,0.8536924381876931,0.8774916365751814,-0.02379919838748823
592626,Joc Pederson,R,1.0,2.0,2285,q,0.4781631754055065,0.3799481864017261,0.0982149890037804
592626,Joc Pederson,R,1.0,3.0,1670,p_swing,0.6852345226800995,0.6341888583832577,0.051045664296841875
592626,Joc Pederson,R,1.0,3.0,1670,p_contact,0.7792638806882732,0.7836349590236913,-0.004371078335418055
592626,Joc Pederson,R,1.0,3.0,1670,q,0.4458181913830563,0.3454214296089318,0.10039676177412449
592626,Joc Pederson,R,1.0,4.0,1155,p_swing,0.39487124289928677,0.3040083514239462,0.09086289147534055
592626,Joc Pederson,R,1.0,4.0,1155,p_contact,0.5088364803123396,0.43073792214606976,0.07809855816626987
592626,Joc Pederson,R,1.0,4.0,1155,q,0.32797986576051424,0.2602029017373533,0.06777696402316097
592626,Joc Pederson,R,2.0,0.0,2194,p_swing,0.39191545429900687,0.43418831010806325,-0.042272855809056376
592626,Joc Pederson,R,2.0,0.0,2194,p_contact,0.500949007677458,0.48060252969020795,0.020346477987250033
592626,Joc Pederson,R,2.0,0.0,2194,q,0.33532563987491126,0.291390301384874,0.04393533849003728
592626,Joc Pederson,R,2.0,1.0,2555,p_swing,0.6547798887245109,0.6707654966626011,-0.01598560793809023
592626,Joc Pederson,R,2.0,1.0,2555,p_contact,0.8434458406937332,0.849851092994563,-0.006405252300829778
592626,Joc Pederson,R,2.0,1.0,2555,q,0.5099287536512849,0.42141940631832625,0.08850934733295862
592626,Joc Pederson,R,2.0,2.0,2715,p_swing,0.7429132822221814,0.734655212145923,0.00825807007625845
592626,Joc Pederson,R,2.0,2.0,2715,p_contact,0.8540551575946983,0.8774962120915645,-0.023441054496866176
592626,Joc Pederson,R,2.0,2.0,2715,q,0.5478962982886404,0.4277883057616802,0.1201079925269602
592626,Joc Pederson,R,2.0,3.0,1919,p_swing,0.7579192393976242,0.7247904112756676,0.03312882812195661
592626,Joc Pederson,R,2.0,3.0,1919,p_contact,0.7914874228479466,0.7951616362785535,-0.0036742134306069207
592626,Joc Pederson,R,2.0,3.0,1919,q,0.5080462041203712,0.3733612532505242,0.13468495086984694
592626,Joc Pederson,R,2.0,4.0,1314,p_swing,0.523168437887814,0.4100907918637558,0.11307764602405818
592626,Joc Pederson,R,2.0,4.0,1314,p_contact,0.5846409590424377,0.47987416580055386,0.10476679324188387
592626,Joc Pederson,R,2.0,4.0,1314,q,0.3858085266304524,0.27076851812816444,0.11504000850228796
592626,Joc Pederson,R,3.0,0.0,2546,p_swing,0.3220369872906136,0.3658994680718875,-0.043862480781273916
592626,Joc Pederson,R,3.0,0.0,2546,p_contact,0.3473322688228991,0.3374400827103146,0.009892186112584467
592626,Joc Pederson,R,3.0,0.0,2546,q,0.2835084182581186,0.2562409733658992,0.02726744489221944
592626,Joc Pederson,R,3.0,1.0,2289,p_swing,0.533169853930065,0.5521580467582207,-0.01898819282815567
592626,Joc Pederson,R,3.0,1.0,2289,p_contact,0.7862160101877961,0.7819944111721948,0.004221599015601263
592626,Joc Pederson,R,3.0,1.0,2289,q,0.39905503851818486,0.353194990843248,0.045860047674936844
592626,Joc Pederson,R,3.0,2.0,2201,p_swing,0.6218260105970954,0.6224007608865078,-0.0005747502894123402
592626,Joc Pederson,R,3.0,2.0,2201,p_contact,0.8447941293612441,0.8511325504576304,-0.006338421096386271
592626,Joc Pederson,R,3.0,2.0,2201,q,0.4348167766364582,0.36844138330299714,0.06637539333346104
592626,Joc Pederson,R,3.0,3.0,1296,p_swing,0.6316098482441445,0.6063910914943088,0.025218756749835647
592626,Joc Pederson,R,3.0,3.0,1296,p_contact,0.8081419145757401,0.7957560347980693,0.012385879777670805
592626,Joc Pederson,R,3.0,3.0,1296,q,0.4220452343493148,0.34354519236953585,0.07850004197977895
592626,Joc Pederson,R,3.0,4.0,745,p_swing,0.411289965157249,0.32379808253219544,0.08749188262505359
592626,Joc Pederson,R,3.0,4.0,745,p_contact,0.6580920882573064,0.5544114532972741,0.10368063496003221
592626,Joc Pederson,R,3.0,4.0,745,q,0.33251045986309946,0.2655118429412778,0.06699861692182169
592626,Joc Pederson,R,4.0,0.0,2687,p_swing,0.13881390525420215,0.16950442397093834,-0.030690518716736198
592626,Joc Pederson,R,4.0,0.0,2687,p_contact,0.09780104491497522,0.09706060946292083,0.0007404354520543915
592626,Joc Pederson,R,4.0,0.0,2687,q,0.19612282498212477,0.18695440592070273,0.009168419061422045
592626,Joc Pederson,R,4.0,1.0,1588,p_swing,0.23363726920156835,0.25364646328943596,-0.02000919408786761
592626,Joc Pederson,R,4.0,1.0,1588,p_contact,0.4430210938256689,0.4323767940560266,0.010644299769642318
592626,Joc Pederson,R,4.0,1.0,1588,q,0.2628054269108574,0.2575237625074439,0.0052816644034134885
592626,Joc Pederson,R,4.0,2.0,1094,p_swing,0.27648555718965356,0.2860680864107365,-0.009582529221082936
592626,Joc Pederson,R,4.0,2.0,1094,p_contact,0.6537274108935128,0.6350529632002399,0.018674447693272977
592626,Joc Pederson,R,4.0,2.0,1094,q,0.2751356592057937,0.27368358450694863,0.0014520746988450628
592626,Joc Pederson,R,4.0,3.0,594,p_swing,0.2236649685379262,0.21478251055429612,0.008882457983630077
592626,Joc Pederson,R,4.0,3.0,594,p_contact,0.7337844214709445,0.7044292077215535,0.029355213749390985
592626,Joc Pederson,R,4.0,3.0,594,q,0.26385141175353166,0.26314355997751254,0.0007078517760191194
592626,Joc Pederson,R,4.0,4.0,278,p_swing,0.1176122966693589,0.08592860783010754,0.031683688839251364
592626,Joc Pederson,R,4.0,4.0,278,p_contact,0.645010074440611,0.5613334240893714,0.08367665035123961
592626,Joc Pederson,R,4.0,4.0,278,q,0.22921674693231103,0.2335655191162829,-0.004348772183971866
664761,Alec Bohm,R,0.0,0.0,602,p_swing,0.15418340383378312,0.23558154099382123,-0.0813981371600381
664761,Alec Bohm,R,0.0,0.0,602,p_contact,0.47605641062937654,0.3309334204974986,0.14512299013187796
664761,Alec Bohm,R,0.0,0.0,602,q,0.2459061638362384,0.23297420970786153,0.01293195412837686
664761,Alec Bohm,R,0.0,1.0,1070,p_swing,0.27575473782506327,0.3271374791781833,-0.05138274135312004
664761,Alec Bohm,R,0.0,1.0,1070,p_contact,0.7253203725424883,0.6317767758318702,0.09354359671061807
664761,Alec Bohm,R,0.0,1.0,1070,q,0.27317771460408363,0.2649801822536599,0.008197532350423753
664761,Alec Bohm,R,0.0,2.0,1538,p_swing,0.3246506307404896,0.3300876826722377,-0.005437051931748094
664761,Alec Bohm,R,0.0,2.0,1538,p_contact,0.7769755575193095,0.7228999479487069,0.054075609570602534
664761,Alec Bohm,R,0.0,2.0,1538,q,0.27853926798263356,0.26848988405652874,0.010049383926104827
664761,Alec Bohm,R,0.0,3.0,1265,p_swing,0.2757140505045295,0.23941381793742825,0.03630023256710127
664761,Alec Bohm,R,0.0,3.0,1265,p_contact,0.7390581049525691,0.6691293146967918,0.06992879025577725
664761,Alec Bohm,R,0.0,3.0,1265,q,0.28577633824626447,0.26891274840316987,0.016863589843094606
664761,Alec Bohm,R,0.0,4.0,1139,p_swing,0.0914258126549175,0.07327381161629423,0.018152001038623272
664761,Alec Bohm,R,0.0,4.0,1139,p_contact,0.5140687074026549,0.4170633698649205,0.09700533753773438
664761,Alec Bohm,R,0.0,4.0,1139,q,0.266870045028725,0.24503908249519313,0.021830962533531895
664761,Alec Bohm,R,1.0,0.0,1350,p_swing,0.3306004806881753,0.40165542295244366,-0.07105494226426834
