batter,name,stand,stratum,prior_pa,delta_pred,delta_eb,rank_model,rank_eb,rank_gap,rank_model_pooled,rank_eb_pooled
666134,Nolan Jones,L,medium,135.0,-0.0447042431311601,-0.03126615241463232,210,154,56,534,478
666139,Josh Lowe,L,medium,113.0,-0.042389350456591,-0.04972703154902047,203,205,-2,527,529
666149,Tyler Fitzgerald,R,low,12.0,0.0140499262473983,0.021183533477773686,177,125,52,177,135
666150,Dominic Fletcher,L,low,29.0,-0.0359549056865701,-0.041633440139389244,146,189,-43,470,513
666152,David Hamilton,L,low,3.0,-0.0313786238740236,-0.024113915330112812,81,99,-18,405,423
666158,Gavin Lux,L,medium,230.0,-0.0383438806551657,-0.03655883905989865,171,171,0,495,495
666160,Mickey Moniak,L,low,90.0,-0.040823548567886,-0.041916171890049314,193,192,1,517,516
666163,Ben Rortvedt,L,low,28.0,-0.0414268919601703,-0.022850083760962314,198,90,108,522,414
666176,Jo Adell,R,medium,217.0,0.0108506879837528,0.01382524513183464,271,261,10,274,278
666181,Will Benson,L,low,50.0,-0.0379572842768335,-0.051454241246509935,166,211,-45,490,535
666182,Bo Bichette,R,high,481.0,0.0154219662744432,0.01983990662589158,91,151,-60,91,161
666185,Dylan Carlson,L,medium,377.0,-0.0066877170920834,0.03587523275663157,19,2,17,341,20
666310,Bo Naylor,L,low,52.0,-0.0326091540983273,-0.03484941890994181,93,168,-75,417,492
666397,Edouard Julien,L,low,48.0,-0.0385162408946379,-0.05369032129307788,174,212,-38,498,536
666464,Jerar Encarnacion,R,low,27.0,0.0134301609771763,0.01993173647077967,201,148,53,202,158
666624,Christopher Morel,R,medium,219.0,0.0158966163315469,0.009351593277518722,75,290,-215,75,322
666703,Eguy Rosario,R,low,10.0,0.0151899394514875,0.02717434430477561,98,59,39,98,65
666915,Bobby Dalbec,R,medium,351.0,0.013993417752624,0.03463952818254862,180,21,159,180,23
666969,Adolis García,R,high,580.0,0.0058942113830545,0.00531039810857642,319,307,12,325,347
666971,Lourdes Gurriel,R,high,666.0,0.0142871065169314,0.008712712500077213,173,294,-121,173,326
667452,Corey Julks,R,low,76.0,0.015801314692479,0.01770879272744158,78,231,-153,78,243
667472,Dane Myers,R,low,20.0,0.0156216311383337,0.023912594253463704,83,89,-6,83,97
667670,Brent Rooker,R,medium,282.0,0.0170333443248837,0.01872706760593651,48,216,-168,48,227
668227,Randy Arozarena,R,high,521.0,0.0125965604458294,0.027505120664393756,227,57,170,229,63
668670,Jake Rogers,R,medium,178.0,0.0165617257584911,0.02579928106099766,57,72,-15,57,78
668709,Jj Bleday,L,medium,115.0,-0.0356812179563305,-0.03818346836954717,143,178,-35,467,502
668715,Spencer Steer,R,medium,203.0,0.0106644286136556,0.02632551411043499,277,67,210,280,73
668723,Ryan Vilade,R,low,0.0,0.0145423889345138,0.018098317393053176,118,225,-107,118,236
668800,Andrew Knizner,R,medium,209.0,0.0143668636924891,0.007239693908021039,171,299,-128,171,334
668804,Bryan Reynolds,L,high,763.0,-0.0063307933162958,0.0006235948351960285,17,45,-28,339,360
668832,,L,low,0.0,-0.0345026837746298,-0.029682423196896013,111,126,-15,435,450
668845,,R,low,0.0,0.0144477913530983,0.01923963035739218,127,162,-35,127,172
668885,,R,low,0.0,0.0144477913530983,0.01923963035739218,127,162,-35,127,172
668901,Mark Vientos,R,low,110.0,0.0162804115952979,0.02106926417855931,63,129,-66,63,139
668904,Royce Lewis,R,low,65.0,0.0139462847372284,0.007612063762466703,182,297,-115,182,331
668930,Brice Turang,L,low,72.0,-0.0343297626321446,-0.022971407554687795,110,91,19,434,415
668939,Adley Rutschman,L,medium,306.0,-0.0142963630737253,0.003224144563147624,49,43,6,373,355
668942,Josh Rojas,L,medium,390.0,-0.03322549526134,-0.019963443303149753,101,80,21,425,404
668952,Ryan Kreidler,R,low,36.0,0.0162398104675891,0.026111140494472662,65,69,-4,65,75
669003,Garrett Mitchell,L,low,10.0,-0.0378210903429359,-0.030673564122369545,164,150,14,488,474
669004,Mj Melendez,L,medium,270.0,-0.0319199727951174,-0.019087523432044173,85,77,8,409,401
669016,Brandon Marsh,L,medium,291.0,-0.0450716673904688,-0.04814876115758543,212,202,10,536,526
669065,Kyle Stowers,L,low,7.0,-0.0381621678558979,-0.01613860185537358,168,68,100,492,392
669127,Shea Langeliers,R,medium,178.0,0.0153707958563233,0.011740696404231199,92,277,-185,92,305
669134,Luis Campusano,R,low,72.0,0.0108219952129308,0.02691148473586108,272,62,210,275,68
669137,,R,low,0.0,0.0144477913530983,0.01923963035739218,127,162,-35,127,172
669200,Mason Mccoy,R,low,0.0,0.0137370095866996,0.019002374523046595,189,206,-17,190,216
669208,,R,low,0.0,0.0144477913530983,0.01923963035739218,127,162,-35,127,172
669221,Sean Murphy,R,high,462.0,0.0137207955907389,0.012868811387111989,191,270,-79,192,287
669222,Nick Senzel,R,medium,401.0,0.0149220010811573,0.03906642819492062,104,9,95,104,9
669224,Austin Wells,L,low,6.0,-0.0403279704882568,-0.033447598059268724,190,160,30,514,484
669234,,R,low,0.0,0.0144477913530983,0.01923963035739218,127,162,-35,127,172
669242,Tommy Edman,L,high,611.0,0.0089318376782049,0.01872981055983869,4,11,-7,306,226
669257,Will Smith,R,high,517.0,0.0091566319711288,0.005162486259468857,300,308,-8,303,348
669261,Jack Suwinski,L,medium,243.0,-0.038416257504147,-0.054602143979021855,173,214,-41,497,538
669289,Santiago Espinal,R,medium,375.0,0.0108616996099039,0.02377120494052337,270,91,179,273,99
669304,José Miranda,R,medium,171.0,0.0146117246149575,0.02162149278830533,112,119,-7,112,127
669357,Nolan Gorman,L,low,109.0,-0.0378565340113735,-0.02198279897823524,165,85,80,489,409
669364,Xavier Edwards,L,low,18.0,-0.0114413947838676,0.010861880273777658,40,29,11,363,307
669369,Bryce Johnson,R,low,25.0,-0.0126379268931827,0.004943505986270191,324,309,15,367,350
669394,Jake Burger,R,medium,200.0,0.0196769078814201,0.021538629336311177,15,120,-105,15,128
669397,Nick Allen,R,medium,190.0,0.0101064124059679,0.04229748332942812,285,5,280,288,5
669477,Casey Schmitt,R,medium,115.0,0.016003976455043,0.022373098854260642,73,109,-36,73,117
669701,Josh Smith,L,low,75.0,-0.036042513838683,-0.01890705608341503,147,76,71,471,400
669707,Jared Triolo,R,low,65.0,0.011970645949872,0.01509257877746406,246,253,-7,249,266
669720,Austin Hays,R,high,608.0,0.0205587198396773,0.022715453288786658,10,102,-92,10,110
669743,Alex Call,R,medium,218.0,0.0112394674072089,0.024251481669775365,263,86,177,266,94
669911,Michael Toglia,L,low,84.0,-0.0212949875040713,-0.003902547510949539,52,50,2,376,371
670032,Nicky Lopez,L,high,468.0,-0.0223383888558804,-0.02718605254057227,54,112,-58,378,436
670042,Luke Raley,L,low,74.0,-0.0399425684270264,-0.03887362265812605,186,180,6,510,504
670097,Zack Short,R,medium,190.0,0.0056758558551021,0.024329563457661074,320,84,236,326,92
670156,Miles Mastrobuoni,L,low,13.0,-0.0341658202904381,-0.022203021207348794,107,86,21,431,410
670242,Matt Wallner,L,low,64.0,-0.0416588130029443,-0.057613764648752175,201,219,-18,525,543
670541,Yordan Álvarez,L,high,730.0,-0.0467060902429162,-0.02878581008833292,216,120,96,540,444
670623,Isaac Paredes,R,medium,292.0,0.0147919566636506,0.013449048425142607,105,268,-163,105,285
670764,Taylor Walls,L,medium,298.0,-0.0132467318112023,0.014233652654196682,46,16,30,370,274
670770,Tj Friedl,L,medium,135.0,-0.0269459233790669,-0.004827682265534428,63,51,12,387,373
671056,Iván Herrera,R,low,12.0,0.0152702141299889,0.018386748318663715,95,220,-125,95,231
671083,Buddy Kennedy,R,low,53.0,0.0137558050005537,0.02271257558703832,187,103,84,188,111
671213,Triston Casas,L,medium,122.0,-0.0446005387472985,-0.034505830617879596,209,165,44,533,489
671218,Heliot Ramos,R,low,18.0,0.0137736415754111,0.018806594471442062,186,213,-27,186,223
671277,Luis García,L,medium,329.0,-0.0374405077321616,-0.024875678465768547,161,104,57,485,428
671286,,R,low,0.0,0.0144477913530983,0.01923963035739218,127,162,-35,127,172
671289,Tyler Freeman,R,low,110.0,0.0121237369598476,0.019714808414098228,240,154,86,243,164
671732,Lawrence Butler,L,low,22.0,-0.0441133884398214,-0.02582818365266476,208,108,100,532,432
671739,Michael Harris,L,medium,273.0,-0.0472058754518073,-0.04315859314884962,217,194,23,541,518
672275,Patrick Bailey,L,low,112.0,-0.013296319828829,0.02549762629308272,47,7,40,371,80
672279,Michael Siani,L,low,3.0,-0.0322216143109526,-0.022673802706640767,89,89,0,413,413
672284,Jarred Kelenic,L,medium,294.0,-0.0386788281654917,-0.034253479783519614,176,162,14,500,486
672356,Gabriel Arias,R,medium,144.0,0.0092122072046851,-0.005040535623341669,299,323,-24,302,374
672386,Alejandro Kirk,R,medium,302.0,0.0139640528661043,0.017282095693180288,181,238,-57,181,250
672515,Gabriel Moreno,R,medium,139.0,0.0117022969284102,0.025279683987588508,254,75,179,257,82
672569,,L,low,0.0,-0.009853756833309,0.012107345410929449,25,18,7,348,293
672580,Maikel García,R,medium,124.0,0.0136450482493828,0.026767554385741243,196,64,132,197,70
672640,Otto Lopez,R,low,3.0,0.0145568226554587,0.019521281145107816,116,156,-40,116,166
672642,,L,low,0.0,-0.009853756833309,0.012107345410929449,25,18,7,348,293
672695,Geraldo Perdomo,L,medium,222.0,-0.00081543135885,0.0005012236546131366,12,46,-34,334,362
672761,,L,low,0.0,-0.009853756833309,0.012107345410929449,25,18,7,348,293
672820,Lenyn Sosa,R,low,56.0,0.0099723544532189,0.028015340946941858,288,54,234,291,60
673237,Yainer Diaz,R,low,105.0,0.0088896434076756,-0.0013455140301245616,303,318,-15,307,366
673357,Luis Robert,R,medium,322.0,0.0077324918511355,0.030949999822720897,313,41,272,318,45
673490,Ha-Seong Kim,R,high,465.0,0.014317340784521,0.031486765746019774,172,36,136,172,40
673548,Seiya Suzuki,R,medium,281.0,0.0128962177996937,0.015309505428664272,216,249,-33,217,262
673962,Josh Jung,R,medium,155.0,0.0162158547729419,0.03252162388982227,66,30,36,66,34
673995,,R,low,0.0,0.0144477913530983,0.01923963035739218,127,162,-35,127,172
675961,Alika Williams,R,low,40.0,0.0107378173967104,0.01290263960018001,275,269,6,278,286
676059,Jordan Westburg,R,low,82.0,0.0173979112440976,0.022628554500366826,38,106,-68,38,114
676070,Jacob Amaya,R,low,4.0,0.0144527167863778,0.019085138884003372,126,204,-78,126,214
676113,,L,low,0.0,-0.0345026837746298,-0.029682423196896013,111,126,-15,435,450
676116,Ryan Noda,L,low,97.0,-0.0385504868690348,-0.02944719879628499,175,122,53,499,446
676356,Jonny Deluca,R,low,10.0,0.0106261340126421,0.019481179506531332,278,158,120,281,168
676369,Nelson Velázquez,R,medium,136.0,0.0155487376890292,0.01378933735168797,84,263,-179,84,280
676391,Ernie Clement,R,medium,157.0,0.0091471743154146,0.020411560389342887,301,137,164,304,147
676475,Alec Burleson,L,low,32.0,-0.0397241493570577,-0.023472856281268883,184,95,89,508,419
676572,,R,low,0.0,0.0144477913530983,0.01923963035739218,127,162,-35,127,172
