anchor,anchor_name,p_throws,pitch_type,balls,strikes,n_pitches,quantity,anchor_value,league_value,delta
665742,Juan Soto,L,fastball,0,0,6576,p_contact,0.7005161454681936,0.7083893545888982,-0.00787320912070455
665742,Juan Soto,L,fastball,0,0,6576,q,0.40090463985972236,0.3310158227702179,0.06988881708950445
665742,Juan Soto,L,fastball,0,1,2811,p_swing,0.3794637448633233,0.4799987166700863,-0.10053497180676302
665742,Juan Soto,L,fastball,0,1,2811,p_contact,0.6864848017085341,0.6838459342304292,0.0026388674781049337
665742,Juan Soto,L,fastball,0,1,2811,q,0.37079534587811125,0.3087612368043198,0.06203410907379142
665742,Juan Soto,L,fastball,0,2,1320,p_swing,0.44527028477118036,0.4903662169565669,-0.045095932185386545
665742,Juan Soto,L,fastball,0,2,1320,p_contact,0.6762150279997017,0.6445037837443601,0.03171124425534155
665742,Juan Soto,L,fastball,0,2,1320,q,0.352090069730625,0.2951189918459506,0.056971077884674426
665742,Juan Soto,L,fastball,1,0,2463,p_swing,0.34534435455147866,0.42989379204137784,-0.08454943748989918
665742,Juan Soto,L,fastball,1,0,2463,p_contact,0.7131493773925393,0.7219112371203588,-0.00876185972781951
665742,Juan Soto,L,fastball,1,0,2463,q,0.40344849306601505,0.33890090056178146,0.06454759250423359
665742,Juan Soto,L,fastball,1,1,2288,p_swing,0.4331158855691251,0.5457291598181925,-0.11261327424906736
665742,Juan Soto,L,fastball,1,1,2288,p_contact,0.7152165482561718,0.7139062576619684,0.0013102905942034004
665742,Juan Soto,L,fastball,1,1,2288,q,0.3912221135903749,0.3234762899289103,0.06774582366146459
665742,Juan Soto,L,fastball,1,2,1906,p_swing,0.5210754430297446,0.5709157039039364,-0.0498402608741918
665742,Juan Soto,L,fastball,1,2,1906,p_contact,0.7058000499531392,0.6833614871557974,0.0224385627973418
665742,Juan Soto,L,fastball,1,2,1906,q,0.36845155063613955,0.303929672492756,0.06452187814338356
665742,Juan Soto,L,fastball,2,0,1066,p_swing,0.3540728111329472,0.418259970275048,-0.06418715914210082
665742,Juan Soto,L,fastball,2,0,1066,p_contact,0.7169228480047874,0.7294438052966206,-0.012520957291833112
665742,Juan Soto,L,fastball,2,0,1066,q,0.41450799404037153,0.34793170709456495,0.06657628694580658
665742,Juan Soto,L,fastball,2,1,1350,p_swing,0.4948191534340634,0.5982486775038485,-0.10342952406978506
665742,Juan Soto,L,fastball,2,1,1350,p_contact,0.7482728053096475,0.7465004725784956,0.0017723327311518489
665742,Juan Soto,L,fastball,2,1,1350,q,0.4174061300853888,0.344708575528253,0.07269755455713578
665742,Juan Soto,L,fastball,2,2,1740,p_swing,0.6029452889666407,0.6506654248659574,-0.047720135899316674
665742,Juan Soto,L,fastball,2,2,1740,p_contact,0.7682056740354867,0.7435969202323979,0.0246087538030888
665742,Juan Soto,L,fastball,2,2,1740,q,0.39102553207555724,0.3183847181723378,0.07264081390321941
665742,Juan Soto,L,fastball,3,0,410,p_swing,0.1751414659600339,0.07121745057373467,0.10392401538629924
665742,Juan Soto,L,fastball,3,0,410,p_contact,0.8049470244673834,0.7973996378315011,0.0075473866358822805
665742,Juan Soto,L,fastball,3,0,410,q,0.4803917169025758,0.3876935419177682,0.09269817498480759
665742,Juan Soto,L,fastball,3,1,723,p_swing,0.5043000934317834,0.5533546197453322,-0.049054526313548785
665742,Juan Soto,L,fastball,3,1,723,p_contact,0.7668475517080076,0.7684873618821402,-0.0016398101741326165
665742,Juan Soto,L,fastball,3,1,723,q,0.45853011944894145,0.37436407285086803,0.08416604659807342
665742,Juan Soto,L,fastball,3,2,1318,p_swing,0.6713778032213076,0.7075042843281432,-0.036126481106835584
665742,Juan Soto,L,fastball,3,2,1318,p_contact,0.8121470055234443,0.7881898312952981,0.02395717422814625
665742,Juan Soto,L,fastball,3,2,1318,q,0.4255910270475699,0.3418372595280816,0.08375376751948832
665742,Juan Soto,L,offspeed,0,0,1050,p_swing,0.27230485860848525,0.31690182263621086,-0.044596964027725616
665742,Juan Soto,L,offspeed,0,0,1050,p_contact,0.5012676926306772,0.5146900500862774,-0.013422357455600276
665742,Juan Soto,L,offspeed,0,0,1050,q,0.2793849542098386,0.2868944182479665,-0.007509464038127911
665742,Juan Soto,L,offspeed,0,1,806,p_swing,0.32547375909102405,0.5011355456086495,-0.17566178651762543
