batter,stand,stratum,dim,gradient
662139,L,medium,12,-0.0069751478222030375
664761,R,high,12,0.00010630174948539082
665742,L,high,12,-0.004561338845267522
665926,L,medium,12,-0.004628842030964445
667472,R,low,12,-0.0022537543555576525
668709,L,medium,12,-0.004389034128939059
669289,R,medium,12,0.0009557823907567874
669394,R,medium,12,0.0007155087609097482
676113,L,low,12,0.0
677347,R,low,12,-0.0032046550281414677
680474,R,low,12,0.0
680718,L,low,12,0.0
680776,L,medium,12,-0.005971063471896669
680869,R,low,12,-0.0021469337191025715
681146,R,low,12,-0.0011032856666349526
682177,L,low,12,0.0
682626,R,medium,12,-0.0022753139197784584
