ev_bin,la_bin,train_mass,obs_mass,conditional_contribution
10,22,0.00283687644084849,0.003029227505715913,-5.600029990343649e-06
10,23,0.002235753923642676,0.0036400254223997756,-2.1034141541376568e-06
11,0,0.0004155127575071766,0.0004374633727600637,2.937667732257475e-05
11,1,0.0012528658779658013,0.0014527085585994569,9.367663801049948e-06
11,2,0.0017886031389141408,0.0018076316723481878,3.845032668313413e-05
11,3,0.005857253439580859,0.0014114384290937905,0.003157138417501358
11,4,0.0017400914971747242,0.0012463579110711248,0.0001771972203232919
11,5,0.0015534271365687082,0.0016095350507209893,-2.0145560150771546e-05
11,6,0.0015850651637900669,0.0013866763513903906,2.9066408947438944e-05
11,7,0.0012908315106314318,0.0012381038851699917,-4.413486502611153e-06
11,8,0.0009122297848825069,0.000685084149794062,-8.005933398216912e-06
11,9,0.0013351247487413337,0.0011473096002575255,4.953436339466838e-05
11,10,0.001393127798647158,0.0012876280405767914,-2.9480618031546847e-05
11,11,0.0013572713677962847,0.0012958820664779244,0.00010780119538592542
11,12,0.0009639052293440594,0.0010895314189495926,-1.4279332987771684e-05
11,13,0.0017675111207665682,0.0012958820664779244,-3.273889574554287e-05
11,14,0.0017474737035263746,0.0014279464808960572,-3.510788357559623e-05
11,15,0.0010145260728982332,0.0008501646678167275,2.844056195594613e-05
11,16,0.0014975332884776414,0.001452708558599457,1.0105151251400675e-05
11,17,0.0014996424902923987,0.001394930377291524,8.553919023917308e-05
11,18,0.0019457386741135551,0.0019562041385685867,0.00013158210964045366
11,19,0.0019056638396331674,0.001659059206127789,0.00010652758513323684
11,20,0.0016873614518057932,0.0015517568694130564,8.331792374089989e-06
11,21,0.0024709299259881084,0.00251747789984565,-5.499589691586234e-06
11,22,0.0023507054225469456,0.0024514456926365835,2.0502708609662316e-05
11,23,0.0018181319643207421,0.002814622832286448,8.17182609457124e-06
12,0,0.0003807109275636821,0.00042095532095779716,2.0036601831135914e-05
12,1,0.0014110560140725946,0.0016425511543255223,4.84206593728027e-05
12,2,0.0021619318601261723,0.002129538682492386,6.434424609755551e-05
12,3,0.0015840105628826882,0.0015600108953141895,-2.3680389992287545e-06
12,4,0.001836060179746179,0.0016673132320289218,1.742722947478093e-05
